day,dai_name,dai_num,game,difference,bb,rb,Total,big_per,reg_per
2025-10-01,ToLOVEるダークネス TRANCE ver.8.7,867,4508,-1090,26,10,125.2,173.4,450.8
2025-10-01,ToLOVEるダークネス TRANCE ver.8.7,883,4757,1198,37,18,86.5,128.6,264.3
2025-10-01,ゴジラ対エヴァンゲリオン,854,3905,700,29,29,67.3,134.7,134.7
2025-10-01,ゴジラ対エヴァンゲリオン,870,4738,-2336,24,23,100.8,197.4,206.0
2025-10-01,ゴジラ対エヴァンゲリオン,879,1090,-926,5,2,155.7,218.0,545.0
2025-10-01,デビル メイ クライ5 スタイリッシュトライブ,861,3852,1608,46,16,62.1,83.7,240.8
2025-10-01,デビル メイ クライ5 スタイリッシュトライブ,875,3845,-384,36,17,72.5,106.8,226.2
2025-10-01,デビル メイ クライ5 スタイリッシュトライブ,882,4109,-1947,23,14,111.1,178.7,293.5
2025-10-01,バイオハザード5,855,4690,-1030,26,16,111.7,180.4,293.1
2025-10-01,バイオハザード5,865,2611,-918,12,7,137.4,217.6,373.0
2025-10-01,バイオハザード5,872,2390,-1499,10,6,149.4,239.0,398.3
2025-10-01,咲‐Saki‐ 頂上決戦,852,790,-89,9,3,65.8,87.8,263.3
2025-10-01,咲‐Saki‐ 頂上決戦,868,4756,179,60,23,57.3,79.3,206.8
2025-10-01,咲‐Saki‐ 頂上決戦,881,3031,3488,72,11,36.5,42.1,275.5
2025-10-01,回胴黙示録カイジ 狂宴,866,4399,2296,30,8,115.8,146.6,549.9
2025-10-01,回胴黙示録カイジ 狂宴,869,3627,914,22,6,129.5,164.9,604.5
2025-10-01,回胴黙示録カイジ 狂宴,876,4105,-575,23,7,136.8,178.5,586.4
2025-10-01,転生したら剣でした,851,2166,463,35,4,55.5,61.9,541.5
2025-10-01,転生したら剣でした,863,2697,1398,54,9,42.8,49.9,299.7
2025-10-01,転生したら剣でした,878,5203,-3103,39,15,96.4,133.4,346.9
2025-10-01,アレックス ブライト,953,6481,1095,25,16,158.1,259.2,405.1
2025-10-01,アレックス ブライト,954,4269,-176,16,5,203.3,266.8,853.8
2025-10-01,シャーマンキング,856,3340,5185,17,39,59.6,196.5,85.6
2025-10-01,シャーマンキング,886,2985,-3828,7,3,298.5,426.4,995.0
2025-10-01,チバリヨ2,943,5130,-4789,16,13,176.9,320.6,394.6
2025-10-01,チバリヨ2,944,4834,1411,36,12,100.7,134.3,402.8
